X,Y,Z,R,G,B
-85.30152167358399,29.802033604736327,8.29699993133545,63,76,85
-85.30152167358399,29.802033604736327,18.25799942016602,63,76,85
-85.30152167358399,29.802039326782225,15.47799968719482,68,76,89
-85.30152930297852,29.80207556640625,9.98799991607666,26,38,62
-85.30152930297852,29.80207556640625,15.15799999237061,26,38,62
-85.30152167358399,29.802010716552733,15.7189998626709,48,52,73
-85.30151404418946,29.802018345947264,15.6879997253418,56,55,78
-85.30152167358399,29.80202979003906,18.1569995880127,63,76,85
-85.30152167358399,29.802039326782225,8.73900032043457,68,76,89
-85.30152167358399,29.802045048828123,15.38599967956543,61,53,69
-85.30152167358399,29.802045048828123,8.45800018310547,61,53,69
-85.30152930297852,29.80207556640625,15.16699981689453,26,38,62
-85.30152167358399,29.802073659057616,9.6560001373291,30,36,59
-85.30152930297852,29.80207556640625,9.86600017547607,26,38,62
-85.30152930297852,29.802085103149413,9.25699996948242,23,45,67
-85.30162848510743,29.802773656005858,5.63899993896484,55,71,92
-85.30162848510743,29.802766026611327,5.79699993133545,50,63,98
-85.30162848510743,29.802760304565428,5.82800006866455,71,83,86
-85.30162848510743,29.8027412310791,6.27899980545044,97,91,98
-85.3016208557129,29.80273360168457,5.50799989700317,133,128,127
-85.30162848510743,29.802731694335936,7.15700006484985,133,128,127
-85.30161322631837,29.802722157592772,5.84899997711182,190,186,169
-85.30161322631837,29.802722157592772,7.14799976348877,190,186,169
-85.30161322631837,29.802722157592772,6.31899976730347,190,186,169
-85.3016208557129,29.802722157592772,7.90999984741211,179,178,154
-85.3016208557129,29.802722157592772,9.42700004577637,179,178,154
-85.30160559692384,29.802718342895506,5.76700019836426,205,201,192
-85.30160559692384,29.802718342895506,8.00699996948242,202,200,188
-85.30161322631837,29.802718342895506,6.25799989700317,191,188,170
-85.30161322631837,29.802718342895506,8.23900032043457,191,188,170
-85.3016208557129,29.802716435546873,6.79699993133545,184,180,158
-85.3016208557129,29.802716435546873,9.08899974822998,184,180,158
-85.30160559692384,29.802712620849608,6.42799997329712,205,201,192
-85.30161322631837,29.802712620849608,7.26900005340576,191,188,170
-85.30161322631837,29.802710713500975,8.47999954223633,191,188,170
-85.3016208557129,29.802710713500975,7.34899997711182,184,180,158
